Symbol,Name,Price,Price/Earnings,Dividend Yield,Earnings/Share,Market Cap,EBITDA,Price/Sales,Price/Book,good_pe,good_eps,good_mc,good_pb,good_div,good_stock,predicted_good_stock
DHR,Danaher Corporation,222.74,42.10586,0.0047999998,5.29,160172343296.0,7511000064.0,6.7463713,3.13577,False,True,True,False,False,0,0
DRI,Darden Restaurants,195.24,22.313143,0.035,8.75,22871781376.0,1789500032.0,2.0034146,10.348776,True,True,True,False,True,0,0
DE,Deere & Company,476.56,18.593836,0.0145000005,25.63,129791598592.0,14364000256.0,2.319571,5.653747,True,True,True,False,False,0,0
DAL,Delta Air Lines,67.27,12.621013,0.0098,5.33,43408052224.0,8415000064.0,0.7197846,3.1604414,True,True,True,False,False,0,0
DVN,Devon Energy,34.1,6.3148146,0.0414,5.4,22400288768.0,7622000128.0,1.5417639,1.5715734,True,True,True,True,True,1,1
FANG,Diamondback Energy,164.36,9.484132,0.048600003,17.33,47991312384.0,6817999872.0,5.2409425,1.2855086,True,True,True,True,True,1,1
DLR,Digital Realty,163.86,133.21951,0.0297,1.23,55402541056.0,2337596928.0,10.307729,2.6466599,False,True,True,True,True,0,0
DG,Dollar General,71.06,11.726072,0.0297,6.06,15627940864.0,3025478912.0,0.39387932,2.3127744,True,True,True,True,True,1,0
D,Dominion Energy,55.59,20.512915,0.0478,2.71,46696157184.0,7032000000.0,3.199901,1.7834456,True,True,True,True,True,1,1
DOV,Dover Corporation,203.68,20.186321,0.0104,10.09,27943266304.0,1765938048.0,3.2973301,4.904052,True,True,True,False,False,0,0
DOW,Dow Inc.,39.05,24.87261,0.0682,1.57,27476086784.0,4851999744.0,0.6363151,1.4930223,True,True,True,True,False,0,1
DTE,DTE Energy,119.88,16.265944,0.0365,7.37,24827267072.0,3448000000.0,1.9997799,2.141747,True,True,True,True,True,1,0
DUK,Duke Energy,111.99,20.105923,0.0372,5.57,86510256128.0,14106000384.0,2.9078102,1.7952006,True,True,True,True,True,1,0
DD,DuPont,76.8,60.000004,0.0198,1.28,32098945024.0,2977999872.0,2.6327875,1.325555,False,True,True,True,False,0,0
EMN,Eastman Chemical Company,99.65,12.992177,0.0358,7.67,11550730240.0,1684000000.0,1.2361655,2.0420082,True,True,True,True,True,1,1
ETN,Eaton Corporation,326.44,34.76464,0.0115,9.39,129009090560.0,5449999872.0,5.2432065,6.7483926,False,True,True,False,False,0,0
EBAY,eBay,67.48,16.997482,0.016,3.97,32342085632.0,2619000064.0,3.1504076,6.00089,True,True,True,False,False,0,0
ECL,Ecolab,250.19,35.139046,0.010299999,7.12,70844301312.0,3538599936.0,4.5196877,10.665444,False,True,True,False,False,0,0
EIX,Edison International,54.0,15.789474,0.0612,3.42,20906100736.0,6444000256.0,1.20698,1.4913831,True,True,True,True,False,0,1
EA,Electronic Arts,122.91,31.515385,0.0064,3.9,32235974656.0,1890000000.0,4.350921,4.3660975,False,True,True,False,False,0,0
ELV,Elevance Health,395.7,15.408878,0.0167,25.68,91771936768.0,11347999744.0,0.52737945,2.0965016,True,True,True,True,False,0,0
EMR,Emerson Electric,129.95,46.081562,0.0162,2.82,74010550272.0,4614000128.0,4.231108,3.4246936,False,True,True,False,False,0,0
ETR,Entergy,81.08,19.679613,0.0296,4.12,34768400384.0,4596974080.0,2.9310362,1.1564189,True,True,True,True,True,1,0
EOG,EOG Resources,125.79,10.152542,0.0301,12.39,70750584832.0,13168000000.0,2.9647412,2.4019935,True,True,True,True,True,1,0
EQT,EQT Corporation,51.12,68.159996,0.012200001,0.75,30502488064.0,2601137920.0,6.597917,1.4989883,False,True,True,True,False,0,0
EFX,Equifax,274.78,60.926826,0.0056,4.51,34059530240.0,1697699968.0,6.094902,6.935211,False,True,True,False,False,0,0
EQIX,Equinix,913.66,82.534775,0.0185,11.07,88157405184.0,3352907008.0,10.493067,6.487864,False,True,True,False,False,0,0
EQR,Equity Residential,70.63,29.801687,0.0387,2.37,27622897664.0,1796182016.0,9.392895,2.4725196,False,True,True,True,True,0,0
ERIE,Erie Indemnity,402.95,37.658882,0.0137,10.7,21070215168.0,710918720.0,5.71211,10.816579,False,True,True,False,False,0,0
ESS,Essex Property Trust,284.57,33.283043,0.0349,8.55,18952333312.0,1109452032.0,10.814825,3.3657007,False,True,True,False,True,0,0
EL,Estée Lauder Companies (The),83.43,148.98215,0.0164,0.56,29949534208.0,2438000128.0,1.9383557,5.891117,False,True,True,False,False,0,0
EVRG,Evergy,64.17,17.343243,0.0416,3.7,14775976960.0,2564199936.0,2.5573707,1.4720253,True,True,True,True,True,1,1
